Sensor no.	Tube no.	Winding no.	x/c	y/c

22	25	0	0.995113089	0.370297701
23	26	1	0.97895065	0.274146779
24	27	7	0.900562822	0.247962992
25	28	2	0.946711675	0.19456363
26	29	3	0.89856797	0.142302957
27	30	6	0.834933139	0.193592929
28	31	4	0.834933139	0.127185986
29	32	5	0.804389947	0.156633122
